data,dia_da_semana,horario,quem_fez_o_pedido,id_pedido,id_aluno,tipo_pedido,opcao_salada,opcao_doce,opcao_fruta
2024-11-01,Friday,13:30:00,Aluno 1553,14053,1820,tipo3,Sim,Sim,Não
2024-11-01,Friday,20:00:00,Aluno 1379,17076,1309,tipo1,Sim,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1638,19366,1308,tipo2,Sim,Não,Sim
2024-11-01,Friday,12:00:00,Aluno 1690,19569,1362,tipo4,Não,Não,Sim
2024-11-01,Friday,11:30:00,Aluno 1013,10750,1482,tipo3,Sim,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1336,12085,1586,tipo3,Sim,Não,Sim
2024-11-01,Friday,17:30:00,Aluno 1578,15123,1568,tipo2,Sim,Sim,Não
2024-11-01,Friday,19:30:00,Aluno 1832,15833,1212,tipo4,Não,Não,Sim
2024-11-01,Friday,18:30:00,Aluno 1893,15483,1923,tipo1,Sim,Não,Sim
2024-11-01,Friday,12:00:00,Aluno 1700,19575,1267,tipo3,Sim,Sim,Não
2024-11-01,Friday,12:00:00,Aluno 1042,18615,1677,tipo4,Sim,Não,Sim
2024-11-01,Friday,12:00:00,Aluno 1653,16738,1697,tipo3,Sim,Sim,Não
2024-11-01,Friday,19:30:00,Aluno 1931,17989,1565,tipo4,Sim,Sim,Não
2024-11-01,Friday,12:00:00,Aluno 1871,14672,1309,tipo1,Não,Não,Sim
2024-11-01,Friday,17:30:00,Aluno 1051,13728,1349,tipo4,Sim,Sim,Não
2024-11-01,Friday,13:00:00,Aluno 1850,12426,2000,tipo3,Não,Sim,Não
2024-11-01,Friday,18:00:00,Aluno 1703,11652,1655,tipo4,Sim,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1943,13569,1469,tipo2,Sim,Sim,Não
2024-11-01,Friday,13:30:00,Aluno 1789,16442,1186,tipo1,Sim,Sim,Não
2024-11-01,Friday,12:00:00,Aluno 1240,11149,1115,tipo4,Não,Sim,Não
2024-11-01,Friday,12:30:00,Aluno 1244,10613,1473,tipo3,Sim,Sim,Não
2024-11-01,Friday,18:30:00,Aluno 1764,12174,1476,tipo2,Não,Não,Sim
2024-11-01,Friday,10:00:00,Aluno 1595,16884,1890,tipo1,Não,Não,Sim
2024-11-01,Friday,12:30:00,Aluno 1711,18678,1445,tipo1,Não,Não,Sim
2024-11-01,Friday,19:00:00,Aluno 1692,13187,1975,tipo3,Não,Sim,Não
2024-11-01,Friday,13:00:00,Aluno 1109,10508,1264,tipo3,Sim,Não,Sim
2024-11-01,Friday,19:30:00,Aluno 1626,12190,1535,tipo3,Sim,Sim,Não
2024-11-01,Friday,11:30:00,Aluno 1793,18007,1948,tipo3,Não,Não,Sim
2024-11-01,Friday,13:30:00,Aluno 1894,13281,1739,tipo4,Sim,Sim,Não
2024-11-01,Friday,18:00:00,Aluno 1029,11940,1212,tipo3,Sim,Não,Sim
2024-11-01,Friday,11:00:00,Aluno 1826,17044,1396,tipo3,Não,Sim,Não
2024-11-01,Friday,14:00:00,Aluno 1180,16487,1053,tipo1,Não,Não,Sim
2024-11-01,Friday,12:00:00,Aluno 1991,14261,1493,tipo3,Não,Não,Sim
2024-11-01,Friday,10:00:00,Aluno 1987,16476,1325,tipo4,Não,Não,Sim
2024-11-01,Friday,14:00:00,Aluno 1938,19464,1406,tipo2,Não,Sim,Não
2024-11-01,Friday,10:00:00,Aluno 1467,13769,1772,tipo3,Sim,Não,Sim
2024-11-01,Friday,18:30:00,Aluno 1847,14848,1732,tipo2,Não,Sim,Não
2024-11-01,Friday,13:00:00,Aluno 1952,17672,1101,tipo3,Não,Não,Sim
2024-11-01,Friday,20:00:00,Aluno 1853,18144,1002,tipo1,Sim,Não,Sim
2024-11-01,Friday,20:00:00,Aluno 1835,16767,1880,tipo3,Não,Sim,Não
2024-11-01,Friday,17:00:00,Aluno 1120,17826,1819,tipo4,Não,Não,Sim
2024-11-01,Friday,10:30:00,Aluno 1764,10274,1939,tipo3,Não,Não,Sim
